geneID	tissue_1	tissue_2	tissue_3	tissue_4	tissue_5	tissue_6	tissue_7	tissue_8	tissue_9	tissue_10	tissue_11	tissue_12	tissue_13	tissue_14	tissue_15	tissue_16	tissue_17	tissue_18	tissue_19	tissue_20	tissue_21	tissue_22	tissue_23
LOC_Os08g39890	1.9354745	2.1622324	2.2249665	1.9805909	2.385973	0.44134304	2.217843	1.2518951	2.1921222	0.7342128	0.9374059	1.5765762	1.9690557	2.5185323	2.8038836	1.490319	2.5158832	3.1510153	1.233193	2.0670774	1.7290616	1.5312426	1.4370071
LOC_Os08g39890.Rp	1.9370574	1.9408022	2.071055	1.85139	2.1176023	0.6338814	2.0747828	1.1523769	1.9592891	0.8556479	1.0143673	1.4454532	1.9184221	2.220615	2.5298703	1.4671347	2.3078475	2.8418167	0.9987981	1.8508015	1.528381	1.4540588	1.3244821
