geneID	tissue_1	tissue_2	tissue_3	tissue_4	tissue_5	tissue_6	tissue_7	tissue_8	tissue_9	tissue_10	tissue_11	tissue_12	tissue_13	tissue_14	tissue_15	tissue_16	tissue_17	tissue_18	tissue_19	tissue_20	tissue_21	tissue_22	tissue_23
LOC_Os08g39890	2.812931	2.1706443	2.700117	2.7320914	2.7185054	0.673494	1.7346163	1.724858	2.7654529	0.7836808	1.1055405	1.4906279	2.52916	3.1229632	2.8941114	0.74623305	2.7428353	2.7287536	0.44150355	2.164779	2.1858342	2.281655	1.140906
LOC_Os08g39890.Rp	2.2966728	1.7517475	2.290517	2.4661171	2.345218	0.8274135	1.4243215	1.4527234	2.3208642	0.8653552	1.0526783	1.3841652	2.0208516	2.6772277	2.4115968	0.88094777	2.4784882	2.1615357	0.4239668	1.805047	1.8033733	1.981978	0.85822326
