geneID	tissue_1	tissue_2	tissue_3	tissue_4	tissue_5	tissue_6	tissue_7	tissue_8	tissue_9	tissue_10	tissue_11	tissue_12	tissue_13	tissue_14	tissue_15	tissue_16	tissue_17	tissue_18	tissue_19	tissue_20	tissue_21	tissue_22	tissue_23
LOC_Os08g39890	2.4005563	2.124445	2.3104484	2.273192	2.3109686	0.3569821	1.6528913	1.8842132	2.9017506	0.64208275	0.7600068	0.8399082	2.7701077	2.3173714	2.981946	0.7166015	2.8867633	3.031806	0.9437037	2.424804	1.9074372	2.4983618	0.6964882
LOC_Os08g39890.Rp	2.1943493	1.948517	2.1106045	2.0584006	2.0607839	0.3556375	1.4536556	1.7785436	2.6012943	0.61830413	0.72978425	0.81980765	2.501751	2.0145617	2.7036855	0.6796129	2.6413271	2.6281757	0.8511532	2.2154977	1.7060698	2.303184	0.7027201
